,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,id_geography,id_gender,previsoes
0,681.0,29.0,2.0,148143.84,1.0,1.0,1.0,52021.39,0.0,0.0,0
1,739.0,37.0,7.0,104960.46,1.0,0.0,1.0,80883.82,0.0,1.0,0
2,597.0,35.0,0.0,127510.99,1.0,1.0,1.0,155356.34,1.0,1.0,0
3,493.0,44.0,7.0,143684.30248513012,2.0,1.0,0.0,141391.2094806966,1.0,0.0,1
4,828.0,42.0,10.0,0.0,1.0,1.0,1.0,186071.14,1.0,1.0,0
5,746.0,37.0,4.0,0.0,2.0,0.0,1.0,171039.56,0.0,0.0,0
6,802.0,33.0,8.0,0.0,2.0,1.0,0.0,143706.18,0.0,1.0,0
7,621.0,34.0,2.0,91258.52,2.0,1.0,0.0,44857.4,2.0,0.0,0
8,589.0,42.0,3.0000000000000004,0.0,1.0,1.0,0.0,85280.32275617836,0.0,0.0,1
9,539.0,53.0,3.0000000000000004,0.0,1.0,1.0,0.0,49572.91268907206,0.0,0.0,1
10,633.0,32.0,8.0,108705.68751407173,1.0,0.0,0.0,179391.05530886428,1.0,1.0,1
11,650.0,50.0,3.0000000000000004,126579.26025710367,1.0,0.0,0.0,17439.86493864284,2.0,1.0,1
12,639.0,32.0,3.0000000000000004,147781.80380146246,2.0,1.0,0.0,45134.42948784859,0.0,0.0,0
13,667.0,49.0,8.0,109644.88743393379,1.0,0.0,1.0,1364.3784919249802,2.0,0.0,1
14,637.0,33.0,7.0,103377.81,1.0,1.0,0.0,84419.78,0.0,0.0,0
15,547.0,40.0,9.0,140489.7050493495,2.0,0.0,0.0,171880.69566984015,0.0,0.0,1
16,493.0,48.0,7.0,0.0,2.0,1.0,0.0,48545.1,1.0,0.0,0
17,677.0,50.0,7.0,108770.51905110438,1.0,1.0,0.0,140285.34962450014,2.0,0.0,1
18,359.0,44.0,6.000000000000001,128747.69000000002,1.0,1.0,0.0,146955.71,0.0,0.0,1
19,708.0,43.0,3.0000000000000004,0.0,1.0,0.0,0.0,152405.01048812037,0.0,1.0,1
20,695.0,35.0,7.0,0.0,2.0,1.0,0.0,160387.98,1.0,1.0,0
21,602.0,22.0,7.0,141604.76,1.0,1.0,0.0,30379.6,1.0,0.0,0
22,672.0,33.0,2.0,0.0,2.0,1.0,1.0,182738.0,1.0,1.0,0
23,496.0,40.0,1.0,0.0,1.0,1.0,1.0,49590.687146952914,0.0,0.0,1
24,754.0,27.0,7.0,0.0,2.0,1.0,0.0,144134.64,0.0,0.0,0
25,569.0,35.0,4.0,93934.63,1.0,1.0,0.0,184748.23,0.0,0.0,0
26,520.0,30.0,4.0,145222.99,2.0,0.0,0.0,145160.96,1.0,0.0,1
27,584.0,47.0,7.0,130538.77,1.0,1.0,0.0,92915.84,2.0,1.0,1
28,550.0,35.0,9.0,129847.75,2.0,1.0,0.0,197325.4,2.0,1.0,0
29,632.0,38.0,8.0,82991.68794228433,1.0,1.0,0.0,19091.85969938054,0.0,0.0,1
