,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,id_geography,id_gender,previsoes
3,493.0,44.0,7.0,143684.30248513012,2.0,1.0,0.0,141391.2094806966,1.0,0.0,1
8,589.0,42.0,3.0000000000000004,0.0,1.0,1.0,0.0,85280.32275617836,0.0,0.0,1
9,539.0,53.0,3.0000000000000004,0.0,1.0,1.0,0.0,49572.91268907206,0.0,0.0,1
10,633.0,32.0,8.0,108705.68751407173,1.0,0.0,0.0,179391.05530886428,1.0,1.0,1
11,650.0,50.0,3.0000000000000004,126579.26025710367,1.0,0.0,0.0,17439.86493864284,2.0,1.0,1
13,667.0,49.0,8.0,109644.88743393379,1.0,0.0,1.0,1364.3784919249802,2.0,0.0,1
15,547.0,40.0,9.0,140489.7050493495,2.0,0.0,0.0,171880.69566984015,0.0,0.0,1
17,677.0,50.0,7.0,108770.51905110438,1.0,1.0,0.0,140285.34962450014,2.0,0.0,1
18,359.0,44.0,6.000000000000001,128747.69000000002,1.0,1.0,0.0,146955.71,0.0,0.0,1
19,708.0,43.0,3.0000000000000004,0.0,1.0,0.0,0.0,152405.01048812037,0.0,1.0,1
23,496.0,40.0,1.0,0.0,1.0,1.0,1.0,49590.687146952914,0.0,0.0,1
26,520.0,30.0,4.0,145222.99,2.0,0.0,0.0,145160.96,1.0,0.0,1
27,584.0,47.0,7.0,130538.77,1.0,1.0,0.0,92915.84,2.0,1.0,1
29,632.0,38.0,8.0,82991.68794228433,1.0,1.0,0.0,19091.85969938054,0.0,0.0,1
30,554.0,39.0,6.000000000000001,115233.66231462947,1.0,1.0,0.0,110224.27758019956,1.0,0.0,1
31,686.0,42.0,5.0,72213.60587230677,2.0,1.0,0.0,65619.7607172002,1.0,1.0,1
34,535.0,51.0,1.0,118036.47868283553,1.0,0.0,0.0,74639.81481028257,2.0,1.0,1
36,739.0,49.0,8.0,98707.80149476108,1.0,1.0,0.0,155287.23389304403,0.0,0.0,1
38,663.0,53.0,6.000000000000001,150200.23,1.0,0.0,1.0,151317.27,1.0,0.0,1
41,653.0,48.0,5.0,0.0,1.0,0.0,1.0,107310.27744464616,0.0,1.0,1
43,755.0,43.0,6.000000000000001,165048.5,3.0,1.0,0.0,16929.41,2.0,1.0,1
44,621.0,41.0,5.0,117524.90429796146,1.0,0.0,0.0,94733.66745357572,0.0,0.0,1
45,664.0,40.0,5.0,90937.73909715813,1.0,1.0,0.0,171146.98608977938,0.0,0.0,1
46,585.0,56.0,1.0,128472.80000000002,1.0,1.0,0.0,186476.91,1.0,0.0,1
